,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
0,0,99957,KLDT-O5WB,48.27347,KLDT-E5WE,57.316,Two UFOs fall from top of machine. Frames 255 and 266.
1,1,99944,KLDT-O5WB,44.208999999999996,KLDT-E5WE,0.0,Bright UFO on the inner upper side of the machine @ frames 154-157.
2,2,99906,KLDT-O5WB,49.10861,KLDT-E5WE,0.0,"small, bright, strand like UFO"
3,3,99882,KLDT-O5WB,42.28373,KLDT-E5WE,49.246,Unusual yellowish explosion probably on the outboard side of the divertor.
4,4,99799,KLDT-O5WB,41.6995,KLDT-E5WE,51.145,Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
5,5,99784,KLDT-O5WB,42.093999999999994,KLDT-E5WE,56.476,It was noted in the last VSO meeting that the last pulse on the 30th November ended in a disruption with some debris. At the start of this pulsees there is evidence of this debris with blue flashes in the divertor. This was probably the debris from the previous pulse. It didn't affect this pulse too much.
6,6,99720,KLDT-O5WB,40.65645,KLDT-E5WE,0.0,Large UFO fragments near the top of the vessel
7,7,99657,KLDT-O5WB,42.87095,KLDT-E5WE,60.239,Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
8,8,99640,KLDT-O5WB,46.2,KLDT-E5WE,46.377,Frames: 208-211
9,9,99627,KLDT-O5WB,42.262679999999996,KLDT-E5WE,0.0,Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
10,10,99616,KLDT-O5WB,40.64799,KLDT-E5WE,0.0,Just below the UDP
11,11,99608,KLDT-O5WB,40.305479999999996,KLDT-E5WC,52.896,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
12,12,99608,KLDT-O5WB,40.305479999999996,KLDT-E5WE,52.896,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
13,13,99542,KLDT-O5WB,41.7927,KLDT-E5WE,0.0,At the divertor
14,14,99534,KLDT-O5WB,41.65723,KLDT-E5WE,0.0,UFOs fliying in the divertor.
15,15,99521,KLDT-O5WB,41.66553,KLDT-E5WE,0.0,"Numerous minor UFOs throughout the pulse, visible on Ops Cam."
16,16,99516,KLDT-O5WB,42.299490000000006,KLDT-E5WE,0.0,Relatively bright blue flash in divertor zone.
17,17,99512,KLDT-O5WB,42.00507,KLDT-E5WE,0.0,Multiple UFos in teh divertor and lower part of the main chamber for 7 frames
18,18,99453,KLDT-O5WB,47.328920000000004,KLDT-E5WE,47.409,large number of UFOs in the divertor (frame: 232)
19,19,99337,KLDT-O5WB,42.25205,KLDT-E5WE,0.0,"Small UFOs close to Divertor tile 7/8. More later in the pulse at 47.95 (frame 247) and up to the end of the pulse. Signs of Titanium during pulse. Do not use standard set, but look for T210/T210 on jetdsp."
20,20,99273,KLDT-O5WB,41.637229999999995,KLDT-E5WE,51.326,UFOs near the divertor shortly after the X-point formation
21,21,98895,KLDT-O5WB,48.59859,KLDT-E5WE,53.984,"Lots of UFOs from outer wall, inner wall and upper dump plates"
22,22,98894,KLDT-O5WB,50.14695,KLDT-E5WE,52.651,Large number of UFOS from outer wall and upper dum plates (Frames: 268-315)
23,23,98795,KLDT-O5WB,52.799859999999995,KLDT-E5WE,58.217,Blue UFO near IWGL 3Z. Possibly corroborated by KLDT-E5WD at 52.71s.
24,24,98570,KLDT-O5WB,49.321999999999996,KLDT-E5WE,0.0,Small blue UFO on the divertor also visible in KLDT-E5WD at frame 818 and 823
25,25,98316,KLDT-O5WB,40.26115,KLDT-E5WE,64.677,"UFOS on npl B3. More UFOs @45.27 (frame 181) and lots of them @64.86. I cannot see those last ones on protection cameras, but can see on experiment and 1 small ufo on KL11-P1DB as reported."
26,26,98291,KLDT-O5WB,45.7611,KLDT-E5WE,0.0,"small blue UFO seen around 45.76s and 46.64 s, probably beryllium"
27,27,98190,KLDT-O5WB,50.30672,KLDT-E5WE,0.0,Frames: 306-309. Particles exploding in divertor area
28,28,98186,KLDT-O5WB,45.46594,KLDT-E5WE,48.037,"UFOs lasting several frames. Similar to the one in 98184. Visible on protection camera as well and on KLDT-E5WD in frames 509 and
510. It looks like titanium and berillium from spectroscopy data. Very small spicks."
29,29,98184,KLDT-O5WB,45.26628,KLDT-E5WE,48.038,"UFOs. I think also briefly seen on KLDT-E5WD at 45.18750 and on
Protection camera. It looks like titanium and berillium from spectroscopy data."
30,30,98059,KLDT-O5WB,48.50607,KLDT-E5WE,48.324,UFOs in cleanup pulse
31,31,98052,KLDT-O5WB,40.927,KLDT-E5WE,50.526,Strnage flash during breakdown. Nothing shows up on Spectroscopy
32,32,97893,KLDT-O5WB,48.21869,KLDT-E5WE,0.0,Very bright blue flash on outboard wall.
33,33,97844,KLDT-O5WB,48.183609999999994,KLDT-E5WE,0.0,"Particles on the outboard side, seemingly coming out of NBI, also on a few subsequent frames."
34,34,97815,KLDT-O5WB,42.931779999999996,KLDT-E5WE,0.0,UFOs coming out of the WoPL. Also seen by KLDT-P5WA and KLDT- E5WD.
35,35,97814,KLDT-O5WB,43.21537,KLDT-E5WE,0.0,Slow UFO coming out of the divertor - also seen by KLDT-E5WD with Be II filter
36,36,97799,KLDT-O5WB,0.0,KLDT-E5WC,0.0,I ahve lost count of all the UFOs I have seen. Last pulse of the session i am going home.
37,37,97799,KLDT-O5WB,0.0,KLDT-E5WD,0.0,I ahve lost count of all the UFOs I have seen. Last pulse of the session i am going home.
38,38,97763,KLDT-O5WB,50.40415,KLDT-E5WE,51.59,Large bright spot on Outer Limiter. May coincide with UFO seen by KLDT-P5WA at 50.34824s
39,39,97717,KLDT-O5WB,47.29207,KLDT-E5WE,0.0,Unusual UFO in divertor zone
40,40,97696,KLDT-O5WB,52.061859999999996,KLDT-E5WE,0.0,Debris from RF antenna
41,41,97693,KLDT-O5WB,48.74175,KLDT-E5WE,0.0,Blue flash on outer limiter
42,42,97677,KLDT-O5WB,48.5857,KLDT-E5WE,0.0,Probably Ni coming down from REION plate
43,43,97676,KLDT-O5WB,48.5891,KLDT-E5WE,0.0,Some blue lights seen for almost one second in few places
44,44,97675,KLDT-O5WB,48.57458,KLDT-E5WE,0.0,Blue light comes from the WOPL
45,45,97616,KLDT-O5WB,43.928490000000004,KLDT-E5WE,43.917,UFOs for several frames. Reported to SL. Also seen on KLDT-E5WD starting at 43.825
