,Pulse,Op.Cam,Time,Exp.Cam,Comments
0,99999,KLDT-O5WB,40.37884,KLDT-E5WD,Blue streak on a couple of frames
1,99999,KLDT-O5WB,40.37884,KLDT-E5WE,Blue streak on a couple of frames
2,99981,KLDT-O5WB,50.97353,KLDT-E5WC,"Very bright white double flash, one frame only. Not visible on PIW cam."
3,99981,KLDT-O5WB,50.97353,KLDT-E5WD,"Very bright white double flash, one frame only. Not visible on PIW cam."
4,99981,KLDT-O5WB,50.97353,KLDT-E5WE,"Very bright white double flash, one frame only. Not visible on PIW cam."
5,99981,KLDT-O5WB,49.84958,KLDT-E5WC,Fairly busy pulse with numerous flashes.
6,99981,KLDT-O5WB,49.84958,KLDT-E5WD,Fairly busy pulse with numerous flashes.
7,99981,KLDT-O5WB,49.84958,KLDT-E5WE,Fairly busy pulse with numerous flashes.
8,99971,KLDT-O5WB,55.871,KLDT-E5WC,Plenty UFOs during disruption
9,99971,KLDT-O5WB,55.871,KLDT-E5WD,Plenty UFOs during disruption
10,99971,KLDT-O5WB,55.871,KLDT-E5WE,Plenty UFOs during disruption
11,99965,KLDT-O5WB,53.22096,KLDT-E5WC,Orange UFO from NBI. Nothing obvious on spectroscopy.
12,99965,KLDT-O5WB,53.22096,KLDT-E5WD,Orange UFO from NBI. Nothing obvious on spectroscopy.
13,99965,KLDT-O5WB,53.22096,KLDT-E5WE,Orange UFO from NBI. Nothing obvious on spectroscopy.
14,99964,KLDT-O5WB,47.89104,KLDT-E5WC,UFOs near limiter 4B
15,99964,KLDT-O5WB,47.89104,KLDT-E5WD,UFOs near limiter 4B
16,99964,KLDT-O5WB,47.89104,KLDT-E5WE,UFOs near limiter 4B
17,99963,KLDT-O5WB,48.66204,KLDT-E5WC,Bright UFO near NBI duct. Visible on E5WE from 48.56s
18,99963,KLDT-O5WB,48.66204,KLDT-E5WD,Bright UFO near NBI duct. Visible on E5WE from 48.56s
19,99963,KLDT-O5WB,48.66204,KLDT-E5WE,Bright UFO near NBI duct. Visible on E5WE from 48.56s
20,99957,KLDT-O5WB,48.27347,KLDT-E5WC,Two UFOs fall from top of machine. Frames 255 and 266.
21,99957,KLDT-O5WB,48.27347,KLDT-E5WD,Two UFOs fall from top of machine. Frames 255 and 266.
22,99957,KLDT-O5WB,48.27347,KLDT-E5WE,Two UFOs fall from top of machine. Frames 255 and 266.
23,99944,KLDT-O5WB,44.209,KLDT-E5WC,Bright UFO on the inner upper side of the machine @ frames 154-157.
24,99944,KLDT-O5WB,44.209,KLDT-E5WD,Bright UFO on the inner upper side of the machine @ frames 154-157.
25,99944,KLDT-O5WB,44.209,KLDT-E5WE,Bright UFO on the inner upper side of the machine @ frames 154-157.
26,99929,KLDT-O5WB,52.67188,KLDT-E5WC,Bright spot near outboard midplane
27,99929,KLDT-O5WB,52.67188,KLDT-E5WD,Bright spot near outboard midplane
28,99929,KLDT-O5WB,52.67188,KLDT-E5WE,Bright spot near outboard midplane
29,99926,KLDT-O5WB,51.17863,KLDT-E5WC,Bright white/blue spot
30,99926,KLDT-O5WB,51.17863,KLDT-E5WD,Bright white/blue spot
31,99926,KLDT-O5WB,51.17863,KLDT-E5WE,Bright white/blue spot
32,99912,KLDT-O5WB,48.252,KLDT-E5WC,UFO coming from the beam duct throughout the pulse.
33,99912,KLDT-O5WB,48.252,KLDT-E5WD,UFO coming from the beam duct throughout the pulse.
34,99912,KLDT-O5WB,48.252,KLDT-E5WE,UFO coming from the beam duct throughout the pulse.
35,99910,KLDT-O5WB,48.272,KLDT-E5WC,A lot of particles seen coming from the beam duct area in the pulse
36,99910,KLDT-O5WB,48.272,KLDT-E5WD,A lot of particles seen coming from the beam duct area in the pulse
37,99910,KLDT-O5WB,48.272,KLDT-E5WE,A lot of particles seen coming from the beam duct area in the pulse
38,99908,KLDT-O5WB,48.52114,KLDT-E5WC,Puple sparks along outer limiters through most of pulse
39,99908,KLDT-O5WB,48.52114,KLDT-E5WD,Puple sparks along outer limiters through most of pulse
40,99908,KLDT-O5WB,48.52114,KLDT-E5WE,Puple sparks along outer limiters through most of pulse
41,99906,KLDT-O5WB,52.80296,KLDT-E5WC,"Medium, bright UFO by WOPL"
42,99906,KLDT-O5WB,52.80296,KLDT-E5WD,"Medium, bright UFO by WOPL"
43,99906,KLDT-O5WB,52.80296,KLDT-E5WE,"Medium, bright UFO by WOPL"
44,99906,KLDT-O5WB,49.10861,KLDT-E5WC,"small, bright, strand like UFO"
45,99906,KLDT-O5WB,49.10861,KLDT-E5WD,"small, bright, strand like UFO"
46,99906,KLDT-O5WB,49.10861,KLDT-E5WE,"small, bright, strand like UFO"
47,99904,KLDT-O5WB,57.3684,KLDT-E5WC,Cloud of UFOs on inner wall during disruption
48,99904,KLDT-O5WB,57.3684,KLDT-E5WD,Cloud of UFOs on inner wall during disruption
49,99896,KLDT-O5WB,53.24289,KLDT-E5WC,Frame: 379
50,99896,KLDT-O5WB,53.24289,KLDT-E5WD,Frame: 379
51,99896,KLDT-O5WB,53.24289,KLDT-E5WE,Frame: 379
52,99891,KLDT-O5WB,51.38887,KLDT-E5WC,"A cloud of UFOs emmanating from the divertor after the disruption.
Also seen by P5WA, E5WD and E5WE. Particularly spectacular on E5TA from 51.22s and quite impressive on P5TB."
53,99891,KLDT-O5WB,51.38887,KLDT-E5WD,"A cloud of UFOs emmanating from the divertor after the disruption.
Also seen by P5WA, E5WD and E5WE. Particularly spectacular on E5TA from 51.22s and quite impressive on P5TB."
54,99891,KLDT-O5WB,51.38887,KLDT-E5WE,"A cloud of UFOs emmanating from the divertor after the disruption.
Also seen by P5WA, E5WD and E5WE. Particularly spectacular on E5TA from 51.22s and quite impressive on P5TB."
55,99886,KLDT-O5WB,56.21431,KLDT-E5WC,If you look carefully you can see a cloud of UFOs against the bright plasma background caused by the floppy termination.
56,99886,KLDT-O5WB,56.21431,KLDT-E5WD,If you look carefully you can see a cloud of UFOs against the bright plasma background caused by the floppy termination.
57,99886,KLDT-O5WB,56.21431,KLDT-E5WE,If you look carefully you can see a cloud of UFOs against the bright plasma background caused by the floppy termination.
58,99884,KLDT-O5WB,49.01166,KLDT-E5WC,A blueish UFO seen in two frames.
59,99884,KLDT-O5WB,49.01166,KLDT-E5WD,A blueish UFO seen in two frames.
60,99884,KLDT-O5WB,49.01166,KLDT-E5WE,A blueish UFO seen in two frames.
61,99882,KLDT-O5WB,42.28373,KLDT-E5WC,Unusual yellowish explosion probably on the outboard side of the divertor.
62,99882,KLDT-O5WB,42.28373,KLDT-E5WD,Unusual yellowish explosion probably on the outboard side of the divertor.
63,99882,KLDT-O5WB,42.28373,KLDT-E5WE,Unusual yellowish explosion probably on the outboard side of the divertor.
64,99880,KLDT-O5WB,61.33549,KLDT-E5WC,"A fast moving UFO leaving a long blue streak across a single frame. Hard to tell where it is coming from
- probably outboard wall."
65,99880,KLDT-O5WB,61.33549,KLDT-E5WD,"A fast moving UFO leaving a long blue streak across a single frame. Hard to tell where it is coming from
- probably outboard wall."
66,99869,KLDT-O5WB,48.07249,KLDT-E5WC,UFOs at the outboard side (near NBI)
67,99869,KLDT-O5WB,48.07249,KLDT-E5WD,UFOs at the outboard side (near NBI)
68,99869,KLDT-O5WB,48.07249,KLDT-E5WE,UFOs at the outboard side (near NBI)
69,99868,KLDT-O5WB,52.88182,KLDT-E5WD,Lots of UFOs at the inboard side during termination
70,99868,KLDT-O5WB,52.88182,KLDT-E5WE,Lots of UFOs at the inboard side during termination
71,99868,KLDT-O5WB,48.70912,KLDT-E5WD,Large UFO at the inboard side
72,99868,KLDT-O5WB,48.70912,KLDT-E5WE,Large UFO at the inboard side
73,99868,KLDT-O5WB,47.94618,KLDT-E5WD,UFOs at the outboard side (near NBI) for >15 frames
74,99868,KLDT-O5WB,47.94618,KLDT-E5WE,UFOs at the outboard side (near NBI) for >15 frames
75,99867,KLDT-O5WB,54.65953,KLDT-E5WC,UFO at the inboard side at termination
76,99867,KLDT-O5WB,54.65953,KLDT-E5WD,UFO at the inboard side at termination
77,99867,KLDT-O5WB,54.65953,KLDT-E5WE,UFO at the inboard side at termination
78,99867,KLDT-O5WB,48.07613,KLDT-E5WC,UFO in from of ICRH for 2 frames
79,99867,KLDT-O5WB,48.07613,KLDT-E5WD,UFO in from of ICRH for 2 frames
80,99867,KLDT-O5WB,48.07613,KLDT-E5WE,UFO in from of ICRH for 2 frames
81,99867,KLDT-O5WB,47.95571,KLDT-E5WC,UFOs at the outboard side (near NBI) for 20 frames
82,99867,KLDT-O5WB,47.95571,KLDT-E5WD,UFOs at the outboard side (near NBI) for 20 frames
83,99867,KLDT-O5WB,47.95571,KLDT-E5WE,UFOs at the outboard side (near NBI) for 20 frames
84,99866,KLDT-O5WB,52.65805,KLDT-E5WC,Flurry of particles at the inboard side during pulse termination
85,99866,KLDT-O5WB,52.65805,KLDT-E5WD,Flurry of particles at the inboard side during pulse termination
86,99866,KLDT-O5WB,52.65805,KLDT-E5WE,Flurry of particles at the inboard side during pulse termination
87,99866,KLDT-O5WB,49.96816,KLDT-E5WC,Bright UFO at the outboard side
88,99866,KLDT-O5WB,49.96816,KLDT-E5WD,Bright UFO at the outboard side
89,99866,KLDT-O5WB,49.96816,KLDT-E5WE,Bright UFO at the outboard side
90,99866,KLDT-O5WB,47.96088,KLDT-E5WC,UFOs at the outboard side for ~30 frames
91,99866,KLDT-O5WB,47.96088,KLDT-E5WD,UFOs at the outboard side for ~30 frames
92,99866,KLDT-O5WB,47.96088,KLDT-E5WE,UFOs at the outboard side for ~30 frames
93,99862,KLDT-O5WB,49.78,KLDT-E5WD,Debis at the top of the vessel.
94,99862,KLDT-O5WB,49.78,KLDT-E5WE,Debis at the top of the vessel.
95,99862,KLDT-O5WB,49.78,KLDT-E5WD,Debis at the top of the vessel.
96,99862,KLDT-O5WB,49.78,KLDT-E5WE,Debis at the top of the vessel.
97,99808,KLDT-O5WB,59.75154,KLDT-E5WC,3 frames worth of UFOs from the outer limiter
98,99808,KLDT-O5WB,59.75154,KLDT-E5WD,3 frames worth of UFOs from the outer limiter
99,99800,KLDT-O5WB,50.02505,KLDT-E5WC,bright blue/white flash
100,99800,KLDT-O5WB,50.02505,KLDT-E5WD,bright blue/white flash
101,99800,KLDT-O5WB,50.02505,KLDT-E5WE,bright blue/white flash
102,99799,KLDT-O5WB,41.6995,KLDT-E5WC,Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
103,99799,KLDT-O5WB,41.6995,KLDT-E5WD,Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
104,99799,KLDT-O5WB,41.6995,KLDT-E5WE,Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
105,99795,KLDT-O5WB,50.29182,KLDT-E5WC,"Some flash visible on the top (UDPT), very likely Ni"
106,99795,KLDT-O5WB,50.29182,KLDT-E5WD,"Some flash visible on the top (UDPT), very likely Ni"
107,99784,KLDT-O5WB,42.094,KLDT-E5WD,It was noted in the last VSO meeting that the last pulse on the 30th November ended in a disruption with some debris. At the start of this pulsees there is evidence of this debris with blue flashes in the divertor. This was probably the debris from the previous pulse. It didn't affect this pulse too much.
108,99784,KLDT-O5WB,42.094,KLDT-E5WE,It was noted in the last VSO meeting that the last pulse on the 30th November ended in a disruption with some debris. At the start of this pulsees there is evidence of this debris with blue flashes in the divertor. This was probably the debris from the previous pulse. It didn't affect this pulse too much.
109,99777,KLDT-O5WB,53.43138,KLDT-E5WC,"Some UFOs during the disruption it seems to come from the limiter and seen also by KLDT-P5WA, KLDT- E5WD and KLDT-E5WE cameras."
110,99777,KLDT-O5WB,53.43138,KLDT-E5WD,"Some UFOs during the disruption it seems to come from the limiter and seen also by KLDT-P5WA, KLDT- E5WD and KLDT-E5WE cameras."
111,99777,KLDT-O5WB,53.43138,KLDT-E5WE,"Some UFOs during the disruption it seems to come from the limiter and seen also by KLDT-P5WA, KLDT- E5WD and KLDT-E5WE cameras."
112,99767,KLDT-O5WB,56.14703,KLDT-E5WC,"Flurry of particles coming out of the divertor during termination, for 5 frames"
113,99767,KLDT-O5WB,56.14703,KLDT-E5WD,"Flurry of particles coming out of the divertor during termination, for 5 frames"
114,99754,KLDT-O5WB,71.09827,KLDT-E5WD,Frame: 821. Termination phase. Outer wall
115,99745,KLDT-O5WB,67.74786,KLDT-E5WC,Frame: 740 UFOs in termination possibly form Reionization plate
116,99745,KLDT-O5WB,67.74786,KLDT-E5WD,Frame: 740 UFOs in termination possibly form Reionization plate
117,99743,KLDT-O5WB,68.14551,KLDT-E5WC,Frame 750 Inner wall and reionization plate
118,99743,KLDT-O5WB,68.14551,KLDT-E5WD,Frame 750 Inner wall and reionization plate
119,99738,KLDT-O5WB,69.74358,KLDT-E5WC,"Two sets of UFOs sputtering from the limiter. Obviously, E5WD also see them and more."
120,99738,KLDT-O5WB,69.74358,KLDT-E5WD,"Two sets of UFOs sputtering from the limiter. Obviously, E5WD also see them and more."
121,99737,KLDT-O5WB,67.12077,KLDT-E5WC,Floppy termination with release of many UFOs. Also seen by E5WD over many frames.
122,99737,KLDT-O5WB,67.12077,KLDT-E5WD,Floppy termination with release of many UFOs. Also seen by E5WD over many frames.
123,99736,KLDT-O5WB,71.06843,KLDT-E5WD,"Once more, UFO's that seem to come from the oct 4 duct. Also very visible in E5WD."
124,99734,KLDT-O5WB,67.794,KLDT-E5WC,Bright spot on Poloidal Limiter 2D or top left corner of ILA antenna. Also visible in E5WD.
125,99734,KLDT-O5WB,67.794,KLDT-E5WD,Bright spot on Poloidal Limiter 2D or top left corner of ILA antenna. Also visible in E5WD.
126,99733,KLDT-O5WB,70.27232,KLDT-E5WC,2 frames of UFOs coming from oct.4 duct(?) - Also seen by E5WD (Be II)
127,99733,KLDT-O5WB,70.27232,KLDT-E5WD,2 frames of UFOs coming from oct.4 duct(?) - Also seen by E5WD (Be II)
128,99727,KLDT-O5WB,70.1499,KLDT-E5WD,Shower of UFOs around limiters 4B and 4D at end of pulse.
129,99724,KLDT-O5WB,53.6163,KLDT-E5WD,UFO comes out Oct 4 NBI. Visible on op and sci cameras.
130,99724,KLDT-O5WB,53.6163,KLDT-E5WE,UFO comes out Oct 4 NBI. Visible on op and sci cameras.
131,99720,KLDT-O5WB,40.65645,KLDT-E5WD,Large UFO fragments near the top of the vessel
132,99720,KLDT-O5WB,40.65645,KLDT-E5WE,Large UFO fragments near the top of the vessel
133,99697,KLDT-O5WB,53.51,KLDT-E5WC,Cluster of UFOs on outboard side (this frame +- 2). Very fast even on fast camera - suspect from NBI. Nothing visible on KT2.
134,99697,KLDT-O5WB,53.51,KLDT-E5WD,Cluster of UFOs on outboard side (this frame +- 2). Very fast even on fast camera - suspect from NBI. Nothing visible on KT2.
135,99697,KLDT-O5WB,53.51,KLDT-E5WE,Cluster of UFOs on outboard side (this frame +- 2). Very fast even on fast camera - suspect from NBI. Nothing visible on KT2.
136,99692,KLDT-O5WB,51.03447,KLDT-E5WD,Small blue flash at the top of th einner wall
137,99676,KLDT-O5WB,69.82732,KLDT-E5WD,streaky blue UFOs for a few frames just before pulse end
