,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments,Measured speed,Comments_personal,Initial_pos,Zone,Unnamed: 11
0,99999,KLDT-O5WB,40.37884,KLDT-E5WD,0,Blue streak on a couple of frames,,,,,
1,99999,KLDT-O5WB,40.37884,KLDT-E5WE,0,Blue streak on a couple of frames,,,,,
2,99981,KLDT-O5WB,50.97353,KLDT-E5WC,0,"Very bright white double flash, one frame only. Not visible on PIW cam.",,,,,
3,99981,KLDT-O5WB,50.97353,KLDT-E5WD,0,"Very bright white double flash, one frame only. Not visible on PIW cam.",,,,,
4,99981,KLDT-O5WB,50.97353,KLDT-E5WE,0,"Very bright white double flash, one frame only. Not visible on PIW cam.",,,,,
5,99981,KLDT-O5WB,49.84958,KLDT-E5WC,0,Fairly busy pulse with numerous flashes.,,,,,
6,99981,KLDT-O5WB,49.84958,KLDT-E5WD,0,Fairly busy pulse with numerous flashes.,,,,,
7,99981,KLDT-O5WB,49.84958,KLDT-E5WE,0,Fairly busy pulse with numerous flashes.,,,,,
8,99971,KLDT-O5WB,55.871,KLDT-E5WC,0,Plenty UFOs during disruption,,,,,
9,99971,KLDT-O5WB,55.871,KLDT-E5WD,0,Plenty UFOs during disruption,,,,,
10,99971,KLDT-O5WB,55.871,KLDT-E5WE,0,Plenty UFOs during disruption,,,,,
11,99965,KLDT-O5WB,53.22096,KLDT-E5WD,53.729,Orange UFO from NBI. Nothing obvious on spectroscopy.,3024,"UFO goes into two, then a cloud. Measured the first  occurrence","(188, 175)",ILA/ICRH,
12,99964,KLDT-O5WB,47.89104,KLDT-E5WC,0,UFOs near limiter 4B,,,,,
13,99964,KLDT-O5WB,47.89104,KLDT-E5WD,0,UFOs near limiter 4B,,,,,
14,99964,KLDT-O5WB,47.89104,KLDT-E5WE,0,UFOs near limiter 4B,,,,,
15,99963,KLDT-O5WB,48.66204,KLDT-E5WC,53.675,Bright UFO near NBI duct. Visible on E5WE from 48.56s,,,,,
