Pulse;Camera;Time;Category;Comments
99999;KLDT-O5WB;40,37884;UFOs;Blue streak on a couple of frames
99981;KLDT-O5WB;50,97353;UFOs;Very bright white double flash, one frame only. Not visible on PIW cam.
99981;KLDT-O5WB;49,84958;UFOs;Fairly busy pulse with numerous flashes.
99971;KLDT-O5WB;55,871;UFOs;Plenty UFOs during disruption
99965;KLDT-O5WB;53,22096;UFOs;Orange UFO from NBI. Nothing obvious on spectroscopy.
99964;KLDT-O5WB;47,89104;UFOs;UFOs near limiter 4B
99963;KLDT-O5WB;48,66204;UFOs;Bright UFO near NBI duct. Visible on E5WE from 48.56s
99961;KLDT-P5WA;51,86946;UFOs;Spray of UFOs following disruption.
99957;KLDT-O5WB;48,27347;UFOs;Two UFOs fall from top of machine. Frames 255 and 266.
99951;KLDT-P5TB;55,47152;UFOs;UFOs at end of pulse. KLDT-E5WD frame 1329.
99950;KLDT-P5TB;55,74777;UFOs;UFOs in line of sight. Visible on KLDT-E5WD. Do not appear to be near divertor.
99950;KLDT-P5TB;55,74777;UFOs;UFOs breaking off Tile 8
99946;KLDT-P5WA;41,12144;UFOs;UFO near upper sausages
99944;KLDT-O5WB;44,209;UFOs;Bright UFO on the inner upper side of the machine @ frames 154-157.
99941;KLDT-P5TB;48,596;UFOs;UFO starting frame 383. Looks like starting from top of tile 8.
99929;KLDT-O5WB;52,67188;UFOs;Bright spot near outboard midplane
99926;KLDT-O5WB;51,17863;UFOs;Bright white/blue spot
99912;KLDT-O5WB;48,252;UFOs;UFO coming from the beam duct throughout the pulse.
99910;KLDT-E5WD;54,612;UFOs;A lot of particles mOn the termination a lot of UFOs . E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse.
99910;KLDT-E5WD;50,712;UFOs;"A lot of particles seen coming from the beam duct area in the pulse.
E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse."
99910;KLDT-E5WD;48,287;UFOs;"A lot of particles seen coming from the beam duct area in the pulse.
E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse."
99910;KLDT-E5WE;48,314;UFOs;A lot of particles seen coming from the beam duct area in the pulse
99910;KLDT-O5WB;48,272;UFOs;A lot of particles seen coming from the beam duct area in the pulse
99908;KLDT-E5WD;48,25;UFOs;Many small UFOs throughout most of pulse, staring around 48s and concentrated at the lower inner wall
99908;KLDT-O5WB;48,52114;UFOs;Puple sparks along outer limiters through most of pulse
99906;KLDT-O5WB;52,80296;UFOs;Medium, bright UFO by WOPL
99906;KLDT-O5WB;49,10861;UFOs;small, bright, strand like UFO
99904;KLDT-E5WD;57,475;UFOs;Spectacular cloud of UFOs on inner wall during disruption
99904;KLDT-O5WB;57,3684;UFOs;Cloud of UFOs on inner wall during disruption
99902;KLDT-E5WD;55,0125;UFOs;Multi frame UFO during disruption
99896;KLDT-O5WB;53,24289;UFOs;Frame: 379
99891;KLDT-O5WB;51,38887;UFOs;"A cloud of UFOs emmanating from the divertor after the disruption.
Also seen by P5WA, E5WD and E5WE. Particularly spectacular on E5TA from 51.22s and quite impressive on P5TB."
99887;KLDT-P5WA;53,15887;UFOs;Unusual single frame bullseye hotspot on BEION4, also conspicuous on Ops cam.
99886;KLDT-O5WB;56,21431;UFOs;If you look carefully you can see a cloud of UFOs against the bright plasma background caused by the floppy termination.
99884;KLDT-O5WB;49,01166;UFOs;A blueish UFO seen in two frames.
99883;KLDT-P5TB;45,44484;UFOs;Unusual linear eruption from tile 5 at the bottom edge of the image. Also visible on E5TA as toroidally drifting snow.
99882;KLDT-E5WD;41,5;UFOs;Lengthy sequence of UFOs seen in Be @ 527 nm, lasting until 41.7625. Very unimpressive in Ops cam.
99882;KLDT-O5WB;42,28373;UFOs;Unusual yellowish explosion probably on the outboard side of the divertor.
99880;KLDT-O5WB;61,33549;UFOs;"A fast moving UFO leaving a long blue streak across a single frame. Hard to tell where it is coming from
- probably outboard wall."
99874;KLDT-E5WD;42,1125;UFOs;Still quite a lot of UFOs in this pulse (here onwards), still MARFE and disruption.
99873;KLDT-P5TB;44,51061;UFOs;"This and some later frames - stuff flying around in the divertor leading to MARFE + disruption; divertor is very dirty after M21-09 disruption in 99871."
99869;KLDT-O5WB;48,07249;UFOs;UFOs at the outboard side (near NBI)
99868;KLDT-O5WB;52,88182;UFOs;Lots of UFOs at the inboard side during termination
99868;KLDT-O5WB;48,70912;UFOs;Large UFO at the inboard side
99868;KLDT-O5WB;47,94618;UFOs;UFOs at the outboard side (near NBI) for >15 frames
99867;KLDT-O5WB;54,65953;UFOs;UFO at the inboard side at termination
99867;KLDT-O5WB;48,07613;UFOs;UFO in from of ICRH for 2 frames
99867;KLDT-O5WB;47,95571;UFOs;UFOs at the outboard side (near NBI) for 20 frames
99866;KLDT-O5WB;52,65805;UFOs;Flurry of particles at the inboard side during pulse termination
99866;KLDT-O5WB;49,96816;UFOs;Bright UFO at the outboard side
99866;KLDT-O5WB;47,96088;UFOs;UFOs at the outboard side for ~30 frames
99865;KLDT-E5WD;41,575;UFOs;Particles in the divertor for ~15 frames, followed by MARFE
99862;KLDT-O5WB;49,78;UFOs;Debis at the top of the vessel.
99862;KLDT-O5WB;49,78;UFOs;Debis at the top of the vessel.
99817;KLDT-E5WD;52,9875;UFOs;Frame: 1118-1129. Divertor region after disruption
99811;KLDT-E5WD;55,512;UFOs;Frames: 1320-1347 (Inner side during the termination phase)
99808;KLDT-O5WB;59,75154;UFOs;3 frames worth of UFOs from the outer limiter
99802;KLDT-E5WD;47,4125;UFOs;Very bright UFO. Note this camera has Be filter.
99802;KLDT-E5WD;48,0875;UFOs;Very bright UFO falling vertically. Apparently the cause of radiation spike.
99800;KLDT-O5WB;50,02505;UFOs;bright blue/white flash
99799;KLDT-O5WB;41,6995;UFOs;Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
99797;KLDT-E5WC;51,863;UFOs;A second UFO coming in from the left.
99797;KLDT-E5WC;51,806;UFOs;UFO coming in from the left.
99795;KLDT-O5WB;50,29182;UFOs;Some flash visible on the top (UDPT), very likely Ni
99787;KLDT-P5WA;71,43943;UFOs;UFOs near 4B and 4D limiters at end of pulse.
99784;KLDT-O5WB;42,094;UFOs;It was noted in the last VSO meeting that the last pulse on the 30th November ended in a disruption with some debris. At the start of this pulsees there is evidence of this debris with blue flashes in the divertor. This was probably the debris from the previous pulse. It didn't affect this pulse too much.
99778;KLDT-E5WD;53,3375;UFOs;Lots UFOs during disruption flying around the vessel (also KLDT- E5WE).
99777;KLDT-O5WB;53,43138;UFOs;Some UFOs during the disruption it seems to come from the limiter and seen also by KLDT-P5WA, KLDT- E5WD and KLDT-E5WE cameras.
99767;KLDT-O5WB;56,14703;UFOs;Flurry of particles coming out of the divertor during termination, for 5 frames
99754;KLDT-O5WB;71,09827;UFOs;Frame: 821. Termination phase. Outer wall
99748;KLDT-E5WD;67,3;UFOs;Frames: 2263-2286. Termination phase, outer wall
99746;KLDT-E5WD;69,8;UFOs;Frames: 2463-2478 Termination Phase, slightly larger sizes than in previous pulses. Outer wall.
99745;KLDT-E5WD;67,63;UFOs;Frames: 2290-2316 in termination phase
99745;KLDT-O5WB;67,74786;UFOs;Frame: 740 UFOs in termination possibly form Reionization plate
99743;KLDT-O5WB;68,14551;UFOs;Frame 750 Inner wall and reionization plate
99738;KLDT-O5WB;69,74358;UFOs;Two sets of UFOs sputtering from the limiter. Obviously, E5WD also see them and more.
99737;KLDT-O5WB;67,12077;UFOs;Floppy termination with release of many UFOs. Also seen by E5WD over many frames.
99736;KLDT-O5WB;71,06843;UFOs;Once more, UFO's that seem to come from the oct 4 duct. Also very visible in E5WD.
99734;KLDT-O5WB;67,794;UFOs;Bright spot on Poloidal Limiter 2D or top left corner of ILA antenna. Also visible in E5WD.
99733;KLDT-O5WB;70,27232;UFOs;2 frames of UFOs coming from oct.4 duct(?) - Also seen by E5WD (Be II)
99727;KLDT-O5WB;70,1499;UFOs;Shower of UFOs around limiters 4B and 4D at end of pulse.
99725;KLDT-E5WD;69,6;UFOs;Lots of UFOs appear near limiter 4B during end of pulse.
99724;KLDT-O5WB;53,6163;UFOs;UFO comes out Oct 4 NBI. Visible on op and sci cameras.
99720;KLDT-O5WB;40,65645;UFOs;Large UFO fragments near the top of the vessel
99697;KLDT-O5WB;53,51;UFOs;Cluster of UFOs on outboard side (this frame +- 2). Very fast even on fast camera - suspect from NBI. Nothing visible on KT2.
99692;KLDT-O5WB;51,03447;UFOs;Small blue flash at the top of th einner wall
99678;KLDT-E5WD;63,12;UFOs;Many small UFOs through end of pulse
99676;KLDT-E5WD;69,74;UFOs;The same UFOs seen from KLDT- E5WD. Hard to tell what they are from spectroscopy. concurrent with an O2 spike
99676;KLDT-O5WB;69,82732;UFOs;streaky blue UFOs for a few frames just before pulse end
99670;KLDT-O5WB;70,53454;UFOs;Cloud of UFOs for 1 frame at end of pulse. More vissible on KLDT-E5WD at the same time and prior.
99657;KLDT-O5WB;42,87095;UFOs;Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
99652;KLDT-P5TB;51,12476;UFOs;UFOs visible in divertor immediately following disruption.
99650;KLDT-P5WA;40,93442;UFOs;Large UFO visible near top of the vessel. Also visible on opcam.
99643;KLDT-E5WD;55,5;UFOs;Clusters of UFOs in the termination phase. Frame 1319-1328
99643;KLDT-O5WB;48,12607;UFOs;Frame 252-257
99640;KLDT-O5WB;46,2;UFOs;Frames: 208-211
99639;KLDT-E5WD;54,1;UFOs;Frames: 1211-1216
99630;KLDT-O5WB;52,31259;UFOs;Several UFOs in divertor
99629;KLDT-E5WC;55,79465;UFOs;UFO is visible dropping from the upper out sausages for for about 30 frames before fragmenting at 55.81822s
99629;KLDT-P5TB;55,75758;UFOs;UFOs visible coming from direction of outer wall
99629;KLDT-E5WD;55,825;UFOs;Many UFOs appear to come from above LH anetnna. Visible on O5WB
99627;KLDT-O5WB;42,26268;UFOs;Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
99627;KLDT-O5WB;48,24435;UFOs;UFO near REION. Visible on fast camera.
99627;KLDT-O5WB;47,08004;UFOs;UFO near upper outer sausages. Not clearly visible on other cameras.
99617;KLDT-P5TB;49,48007;UFOs;Small UFO appears to come from tile 6
99616;KLDT-O5WB;40,64799;UFOs;Just below the UDP
99608;KLDT-E5WD;52,92;UFOs;Lots of UFOs during the disruption seen also by KLDT-E5WE
99608;KLDT-O5WB;40,30548;UFOs;Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)
99607;KLDT-E5WD;52,96;UFOs;Lots of UFOs seen in the main chamber during disruption, seen also by KLDT-E5WE camera and very slightly by operational camera.
99599;KLDT-E5WD;41,45;UFOs;Continuous stream of UFOs above the divertor after the X-point formation until approximately 42.1 s, likely due to debris released by the disruption of the preceding pulse
99567;KLDT-E5WD;64,875;UFOs;UFO(s) in divertor
99565;KL1-E4WD;48,5375;UFOs;UFO appears to come off limiter 3B over about 10 frames
99544;KLDT-O5WB;50,21376;UFOs;Lots of them, also in KLDT- E5WE@50.1417s
99543;KLDT-E5WE;47,2442;UFOs;At the divertor
99542;KLDT-O5WB;52,19077;UFOs;At the inner wall
99542;KLDT-O5WB;52,27109;UFOs;At the inner wall
99542;KLDT-O5WB;41,7927;UFOs;At the divertor
99542;KLDT-E5WE;52,1933;UFOs;Small UFOs at the inner wall
99542;KLDT-E5WE;47,4083;UFOs;Between 47.4083s to 47.9 small UFOs at the divertor
99541;KLDT-O5WB;50,1664;UFOs;Large UFO near BEION4
99539;KLDT-O5WB;52,83421;UFOs;UFOs near the LH. Visible on fast camera for about 20 frames starting at 52.75250s.
99534;KLDT-O5WB;41,65723;UFOs;UFOs fliying in the divertor.
99523;KLDT-O5WB;49,55424;UFOs;Bright flash apparently in the middle of the machine or on the outer wall.
99523;KLDT-P5TB;41,85957;UFOs;Small UFO on divertor
99522;KLDT-P5TB;48,8991;UFOs;Unusual hot UFO (?) wandering slowly over the divertor.
99521;KLDT-O5WB;41,66553;UFOs;Numerous minor UFOs throughout the pulse, visible on Ops Cam.
99520;KLDT-P5TB;52,18903;UFOs;UFOs in the divertor following disruption
99518;KLDT-O5WB;52,81448;UFOs;Bright white flash with plasma trail at top of machine. Visible at frame 442 of P5WA.
99516;KLDT-E5WD;42,2;UFOs;Spray over several frames. This is the same event as logged on the Ops Cam, but for some reason it appears 100 ms earlier.
99516;KLDT-E5WD;42,2;UFOs;Spray over several frames.
99516;KLDT-E5WD;41,7375;UFOs;UFO on frames 217-8. Not visible on Protection camera.
99516;KLDT-O5WB;53,54102;UFOs;Unusual greenish UFO
99516;KLDT-O5WB;42,29949;UFOs;Relatively bright blue flash in divertor zone.
99513;KLDT-E5WD;50,8875;UFOs;Something seems to drop at the top of the LH (but it is not seen in any other cam)
99513;KLDT-P5TB;51,70036;UFOs;Lrge particle moving in the divertor following hte disruption, for 3 frames
99512;KLDT-O5WB;42,00507;UFOs;Multiple UFos in teh divertor and lower part of the main chamber for 7 frames
99511;KLDT-O5WB;46,68408;UFOs;"Particles ""falling out"" of the NBI Oct 4, just before the disruption"
99486;KLDT-O5WB;60,15374;UFOs;From outer and inner wall. SC and SL do not think that cleaning pulse is required
99464;KLDT-P5TB;50,7712;UFOs;Shower of particles in the divertor
99462;KLDT-P5TB;51,89613;UFOs;Large UFOs in the divertor ~14 frames
99462;KLDT-P5TB;50,98732;UFOs;Large UFOs in the divertor ~3 frames
99461;KLDT-P5TB;52,72122;UFOs;"Particle in the divertor, moving toroidally and then disintegrating
~3 frames"
99461;KLDT-P5TB;51,05463;UFOs;"A particle moving toroidally in the divertor, apparently ending up immobilized in the gap of tile 6 (?)
~ frames"
99457;KLDT-E5WE;49,4191;UFOs;Cleaning pulse
99457;KLDT-E5WE;49,3446;UFOs;Cleaning pulse
99457;KLDT-E5WE;49,116;UFOs;Cleaning pulse
99455;KLDT-O5WB;50,46416;UFOs;Lots and lots of UFOs in the divertor and in the Be Reionization Plate
99453;KLDT-O5WB;47,32892;UFOs;large number of UFOs in the divertor (frame: 232)
99450;KLDT-O5WB;49,50994;UFOs;Plasma too close to inner wall (single frame = 286)
99422;KLDT-E5WD;41,7;UFOs;"Strong UFO activity seen throughout the pulse with the Be II filter with two especially active spells during 41.7-43.6 s and
47.1-49.4 s"
99409;KLDT-E5WD;47,0;UFOs;Less number of UFOs from the divertor and more mid-plane
99405;KLDT-E5WD;47,0;UFOs;Still there.. Not really much difference with other pulses
99405;KLDT-E5WD;47,0;UFOs;Still there.. Not really much difference with other pulses
99400;KLDT-E5WD;47,0;UFOs;Same as before, starting time has changed because the heating time starting time has changed
99399;KLDT-E5WD;50,51;UFOs;Starting from frame 920. Nothing found by DC Ivor
99398;KLDT-E5WD;50,51;UFOs;Similar to previous pulse. Starting frame: 920
99397;KLDT-E5WD;50,51;UFOs;Lots of UFOs from potentially the inner strike point, DC did not find anything special. Frames:920-1151
99390;KLDT-E5WC;59,424;UFOs;Fast UFO shooting up
99381;KLDT-O5WB;55,52;UFOs;UFOs coming from the outer wall (frames 436-444). Spectroscopy shows Ti.
99380;KLDT-O5WB;50,76;UFOs;UFOs near the inner wall.
99378;KLDT-E5WC;59,44;UFOs;2 UFO coming from the top. Visible also on KLDT-P5WA at 59.48s.
99367;KLDT-E5WE;40,068;UFOs;A couple of teeny UFOs from somewhere in the lower part of the machine, visible on fast camera.
99366;KLDT-O5WB;57,55517;UFOs;Several UFOs on op cam over a few frames
99359;KLDT-O5WB;49,79129;UFOs;A bright spot in the top where titanium is often seen (starts previous frame).
99358;KLDT-E5WD;53,175;UFOs;The same spot is very visible on the experimental cameras.
99358;KLDT-O5WB;53,23417;UFOs;Bright spot seems to rise up from the divertor area.
99351;KLDT-E5WD;51,9625;UFOs;UFO from inner wall
99343;KLDT-E5WC;50,732;UFOs;UFo from top, possibly iron based on spectroscopy
99341;KLDT-E5WC;47,675;UFOs;ufo from divertor
99341;KLDT-E5WC;56,8375;UFOs;ufo from divertor
99341;KLDT-O5WB;48,40691;UFOs;Same type of small ufos from top
99340;KLDT-O5WB;49,46257;UFOs;multiple small UFOs fall from top of machine during kicks. Larger ones might be Al, based on spectroscopy.
99339;KLDT-E5WD;44,6875;UFOs;UFOs coming from divertor
99339;KLDT-O5WB;48,95513;UFOs;Many small UFOs during kicks. Mostly coming from top. Hard to tell what it is from spectroscopy.
99337;KLDT-O5WB;42,25205;UFOs;Small UFOs close to Divertor tile 7/8. More later in the pulse at 47.95 (frame 247) and up to the end of the pulse. Signs of Titanium during pulse. Do not use standard set, but look for T210/T210 on jetdsp.
99336;KLDT-P5TB;51,19147;UFOs;UFOs from Tile 6.
99336;KLDT-O5WB;48,83119;UFOs;UFOs close to the 4B limiter. Also visible on KLDT-E5WD @48.73750 (Frame 778). More later @51.64. Nothing obvious from spettroscopy.
99335;KLDT-O5WB;48,59999;UFOs;UFOs starting at 48.59 and lasting the whole pulse. Signs of Titanium during pulse. Do not use standard set, but look for T210/T210 on jetdsp.
99333;KLDT-O5WB;41,19643;UFOs;UFO at the top. UFO also seen on KLDT-E5WD, but is seems in a different location.
99331;KLDT-E5WD;41,46;UFOs;Small UFOs on the divertor lasting several frames.
99331;KLDT-O5WB;41,17042;UFOs;UFOs at the top
99330;KLDT-O5WB;42,85596;UFOs;SL thinks that these UFOs stopped the pulse. UFOs also seen on KLDT- E5WD.
99313;KLDT-O5WB;63,773;UFOs;Debris again in the termination phase of the plasma
99312;KLDT-O5WB;66,3;UFOs;SL stated that his was as a result of the thermal quench at the end of the pulse. DC couldn't identify any lage peak in th e diagnostic traces which would identify what it was.
99287;KL11-P1DB;51,91772;UFOs;High UFO activity in the divertor going into main chamber - KL7- E8WB (50-52s)
99284;KL11-P1DB;51,1179;UFOs;UFO activity during the pulse. Frame 708 is particularly bad during the disruption
99282;KL11-P1DB;50,55784;UFOs;high UFO activity in the divertor
99273;KL2D-P8TB;51,34063;UFOs;Large UFO. 6 frames. Made me think that tile 5 got hot with the disruption.
99273;KL11-P1DB;51,31777;UFOs;Spectacular display! 20 frames
99273;KLDT-O5WB;41,63723;UFOs;UFOs near the divertor shortly after the X-point formation
99269;KL2D-P8TB;51,82062;UFOs;UFO flying away from tile 6 - 4 frames
99269;KL11-P1DB;51,75775;UFOs;Particles coming off Tile 5 (maybe 6) - 7 frames
99267;KLDT-O5WB;51,65;UFOs;frame340-341,379
99262;KL11-P1DB;54,77748;UFOs;A few UFOs during the pulse, such as this one.
99259;KL11-P1DA;52,24135;UFOs;Small UFOs visible on this camera for much of the pulse. Here is a bit of a spray.
99255;KL11-P1DB;52,09768;UFOs;UFO from Tile 7 moving toroidally. More UFOs at the end of the pulse.
99254;KL11-P1DB;52,41765;UFOs;Again UFOs just before disruption. They last for sevaral frames also after the disruption.
99253;KL11-P1DB;52,49765;UFOs;UFOs coming between tile 6 and 7. They last several frames.
99246;KL11-P1DA;50,2;UFOs;Example of UFOs from OSP-tile 7 prior to disruption for this plasma configuration.
99243;KL11-P1DB;51,5777;UFOs;UFOs on the edge of tile 6
99239;KLDT-P5TB;49,382;UFOs;Hot spot on tile
99239;KL11-P1DB;50,4778;UFOs;Again with strike point on tile 7 UFOs can be seen at a number of time points prior to the distruption
99238;KL11-P1DB;50,4178;UFOs;Some UFOs as the strike point moves over tile 7 also at other times
99226;KLDT-E5WE;57,469;UFOs;A number of small blue and white glowing rats can be seen running along the railway tracks on the inboard side.
99226;KL11-P1DB;59,31717;UFOs;And again
