,Pulse,Op.Cam,Time,Exp.Cam,Comments
0,99957,KLDT-O5WB,48.27347,KLDT-E5WE,Two UFOs fall from top of machine. Frames 255 and 266.
1,99944,KLDT-O5WB,44.209,KLDT-E5WE,Bright UFO on the inner upper side of the machine @ frames 154-157.
2,99906,KLDT-O5WB,49.10861,KLDT-E5WE,"small, bright, strand like UFO"
3,99882,KLDT-O5WB,42.28373,KLDT-E5WE,Unusual yellowish explosion probably on the outboard side of the divertor.
4,99799,KLDT-O5WB,41.6995,KLDT-E5WE,Several insignificant-looking UFOs over several frames that MAY have something to do with the MARFE immediately following.
5,99784,KLDT-O5WB,42.094,KLDT-E5WE,It was noted in the last VSO meeting that the last pulse on the 30th November ended in a disruption with some debris. At the start of this pulsees there is evidence of this debris with blue flashes in the divertor. This was probably the debris from the previous pulse. It didn't affect this pulse too much.
6,99720,KLDT-O5WB,40.65645,KLDT-E5WE,Large UFO fragments near the top of the vessel
7,99657,KLDT-O5WB,42.87095,KLDT-E5WE,Debris in the divertor( probably from the last pulse) caused MARFing behaviour of the plasma. Also visible in KLDTP5WB
8,99640,KLDT-O5WB,46.2,KLDT-E5WE,Frames: 208-211
9,99627,KLDT-O5WB,42.26268,KLDT-E5WE,Several UFOs in divertor. UFOs visible in divertor on KLDT-E5WD throughout pulse.
10,99616,KLDT-O5WB,40.64799,KLDT-E5WE,Just below the UDP
11,99608,KLDT-O5WB,40.30548,KLDT-E5WC,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
12,99608,KLDT-O5WB,40.30548,KLDT-E5WE,"Some UFOs begin to be seen during breakdown in main chamber, on the WOPL and on the divertor during X-point formation at 42.192s (blue light)"
13,99542,KLDT-O5WB,41.7927,KLDT-E5WE,At the divertor
14,99534,KLDT-O5WB,41.65723,KLDT-E5WE,UFOs fliying in the divertor.
15,99521,KLDT-O5WB,41.66553,KLDT-E5WE,"Numerous minor UFOs throughout the pulse, visible on Ops Cam."
16,99516,KLDT-O5WB,42.29949,KLDT-E5WE,Relatively bright blue flash in divertor zone.
17,99512,KLDT-O5WB,42.00507,KLDT-E5WE,Multiple UFos in teh divertor and lower part of the main chamber for 7 frames
18,99453,KLDT-O5WB,47.32892,KLDT-E5WE,large number of UFOs in the divertor (frame: 232)
19,99337,KLDT-O5WB,42.25205,KLDT-E5WE,"Small UFOs close to Divertor tile 7/8. More later in the pulse at 47.95 (frame 247) and up to the end of the pulse. Signs of Titanium during pulse. Do not use standard set, but look for T210/T210 on jetdsp."
20,99273,KLDT-O5WB,41.63723,KLDT-E5WE,UFOs near the divertor shortly after the X-point formation
21,98895,KLDT-O5WB,48.59859,KLDT-E5WE,"Lots of UFOs from outer wall, inner wall and upper dump plates"
22,98894,KLDT-O5WB,50.14695,KLDT-E5WE,Large number of UFOS from outer wall and upper dum plates (Frames: 268-315)
23,98795,KLDT-O5WB,52.79986,KLDT-E5WE,Blue UFO near IWGL 3Z. Possibly corroborated by KLDT-E5WD at 52.71s.
24,98570,KLDT-O5WB,49.322,KLDT-E5WE,Small blue UFO on the divertor also visible in KLDT-E5WD at frame 818 and 823
25,98316,KLDT-O5WB,40.26115,KLDT-E5WE,"UFOS on npl B3. More UFOs @45.27 (frame 181) and lots of them @64.86. I cannot see those last ones on protection cameras, but can see on experiment and 1 small ufo on KL11-P1DB as reported."
26,98291,KLDT-O5WB,45.7611,KLDT-E5WE,"small blue UFO seen around 45.76s and 46.64 s, probably beryllium"
27,98190,KLDT-O5WB,50.30672,KLDT-E5WE,Frames: 306-309. Particles exploding in divertor area
28,98186,KLDT-O5WB,45.46594,KLDT-E5WE,"UFOs lasting several frames. Similar to the one in 98184. Visible on protection camera as well and on KLDT-E5WD in frames 509 and
510. It looks like titanium and berillium from spectroscopy data. Very small spicks."
29,98184,KLDT-O5WB,45.26628,KLDT-E5WE,"UFOs. I think also briefly seen on KLDT-E5WD at 45.18750 and on
Protection camera. It looks like titanium and berillium from spectroscopy data."
30,98059,KLDT-O5WB,48.50607,KLDT-E5WE,UFOs in cleanup pulse
